model_id,encoder,classifier,label,label_slug,test_positives,test_prevalence,roc_auc,pr_auc,roc_auc_ci_95_lower,roc_auc_ci_95_upper
bit50__svm_linear,bit50,svm_linear,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.6808943089430894,0.06111119779335352,,
bit50__svm_linear,bit50,svm_linear,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.7336394948335248,0.059733523800252,,
bit50__svm_linear,bit50,svm_linear,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.6559232377906261,0.029027986429941928,,
bit50__svm_linear,bit50,svm_linear,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.7516299667855826,0.14723259584704193,,
bit50__svm_linear,bit50,svm_linear,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.7345928924876294,0.17217283174827816,,
bit50__svm_linear,bit50,svm_linear,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.5131012424652479,0.01714199969523754,,
bit50__svm_linear,bit50,svm_linear,Scabies,scabies,9,0.012,0.800719748088169,0.04244560570495048,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Eczema,eczema,157,0.20933333333333334,0.7025273627565762,0.3401334880758853,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.7413895781637718,0.3818683143431299,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Insect Bite,insect_bite,60,0.08,0.7995169082125603,0.23255409254144127,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Urticaria,urticaria,50,0.06666666666666667,0.7895428571428572,0.20160685721050492,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Psoriasis,psoriasis,46,0.06133333333333333,0.6327816205533596,0.12605500799863956,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Folliculitis,folliculitis,40,0.05333333333333334,0.8466197183098592,0.19391751763408946,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.7774913763693567,0.15200050054550282,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Tinea,tinea,31,0.04133333333333333,0.7560680156130827,0.10828286806514564,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Herpes Zoster,herpes_zoster,21,0.028,0.8535501992292115,0.17651889561278655,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Drug Rash,drug_rash,22,0.029333333333333333,0.6811938061938062,0.10371014911988463,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.888013698630137,0.14680187093766858,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Impetigo,impetigo,18,0.024,0.7584244080145719,0.0745785487646057,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.8502051983584131,0.09410887157519192,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.7731321723778188,0.0750761817175445,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Acne,acne,15,0.02,0.9217233560090703,0.18911274832860747,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.8995011337868482,0.17631694393967412,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.7551927437641723,0.06292428966119946,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.8018245341614907,0.06710797217772499,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.7742773261065943,0.04192654110938937,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.7670389312180357,0.05551791479125117,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.6478041579530077,0.031957574289556936,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.8860868495509903,0.21971883521215158,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.8223121907332434,0.03814432122571927,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.4207159552220445,0.012812153345294862,,
clip_vitb32__gradient_boosting,clip_vitb32,gradient_boosting,Scabies,scabies,9,0.012,0.6153846153846153,0.019238364825805744,,
clip_vitb32__knn,clip_vitb32,knn,Eczema,eczema,157,0.20933333333333334,0.6233875038936209,0.27195358414315973,,
clip_vitb32__knn,clip_vitb32,knn,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.6505086848635235,0.28537118825720836,,
clip_vitb32__knn,clip_vitb32,knn,Insect Bite,insect_bite,60,0.08,0.6418840579710143,0.1361235823403163,,
clip_vitb32__knn,clip_vitb32,knn,Urticaria,urticaria,50,0.06666666666666667,0.6634714285714286,0.14779849897355374,,
clip_vitb32__knn,clip_vitb32,knn,Psoriasis,psoriasis,46,0.06133333333333333,0.5808887104743082,0.09371585775276399,,
clip_vitb32__knn,clip_vitb32,knn,Folliculitis,folliculitis,40,0.05333333333333334,0.7002464788732394,0.17854088156910763,,
clip_vitb32__knn,clip_vitb32,knn,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.5757363253856942,0.07126451874627991,,
clip_vitb32__knn,clip_vitb32,knn,Tinea,tinea,31,0.04133333333333333,0.6040647853201131,0.06140393444291192,,
clip_vitb32__knn,clip_vitb32,knn,Herpes Zoster,herpes_zoster,21,0.028,0.7655954013978705,0.20396171444954161,,
clip_vitb32__knn,clip_vitb32,knn,Drug Rash,drug_rash,22,0.029333333333333333,0.6514735264735265,0.12701410220362574,,
clip_vitb32__knn,clip_vitb32,knn,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.6884589041095891,0.12217143917369055,,
clip_vitb32__knn,clip_vitb32,knn,Impetigo,impetigo,18,0.024,0.5382513661202185,0.03117870460566949,,
clip_vitb32__knn,clip_vitb32,knn,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.5889552883576932,0.08520873401442206,,
clip_vitb32__knn,clip_vitb32,knn,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.5376775539683813,0.02522180701136626,,
clip_vitb32__knn,clip_vitb32,knn,Acne,acne,15,0.02,0.7980045351473921,0.18769303473561705,,
clip_vitb32__knn,clip_vitb32,knn,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.6595918367346938,0.09970238548171559,,
clip_vitb32__knn,clip_vitb32,knn,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.556734693877551,0.027412144270391695,,
clip_vitb32__knn,clip_vitb32,knn,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.5476513975155278,0.02792337164750958,,
clip_vitb32__knn,clip_vitb32,knn,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.5695573622402891,0.030452380952380953,,
clip_vitb32__knn,clip_vitb32,knn,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.6745642417284209,0.12134417340060027,,
