model_id,encoder,classifier,target_positive_cases,k,metric,estimate,ci_95_lower,ci_95_upper
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,3,precision_at_k,0.36767169179229475,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,5,hit_rate,0.8869346733668342,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,5,recall_at_k,0.7144472361809046,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,5,precision_at_k,0.28241206030150756,,
siglip2_so400m__knn,siglip2_so400m,knn,398,1,hit_rate,0.4899497487437186,,
siglip2_so400m__knn,siglip2_so400m,knn,398,1,recall_at_k,0.26813232830820766,,
siglip2_so400m__knn,siglip2_so400m,knn,398,1,precision_at_k,0.4899497487437186,,
siglip2_so400m__knn,siglip2_so400m,knn,398,3,hit_rate,0.7336683417085427,,
siglip2_so400m__knn,siglip2_so400m,knn,398,3,recall_at_k,0.5175041876046901,,
siglip2_so400m__knn,siglip2_so400m,knn,398,3,precision_at_k,0.340033500837521,,
siglip2_so400m__knn,siglip2_so400m,knn,398,5,hit_rate,0.8165829145728644,,
siglip2_so400m__knn,siglip2_so400m,knn,398,5,recall_at_k,0.6280988274706868,,
siglip2_so400m__knn,siglip2_so400m,knn,398,5,precision_at_k,0.2527638190954774,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,1,hit_rate,0.45226130653266333,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,1,recall_at_k,0.24740368509212732,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,1,precision_at_k,0.45226130653266333,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,3,hit_rate,0.7638190954773869,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,3,recall_at_k,0.5229480737018425,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,3,precision_at_k,0.33584589614740373,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,5,hit_rate,0.8743718592964824,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,5,recall_at_k,0.6822026800670017,,
siglip2_so400m__logistic,siglip2_so400m,logistic,398,5,precision_at_k,0.2693467336683417,,
siglip2_so400m__mil,siglip2_so400m,mil,398,1,hit_rate,0.5025125628140703,0.457286432160804,0.5527638190954773
siglip2_so400m__mil,siglip2_so400m,mil,398,1,recall_at_k,0.3020519262981574,0.268213986599665,0.33624685929648235
siglip2_so400m__mil,siglip2_so400m,mil,398,1,precision_at_k,0.5025125628140703,0.457286432160804,0.5527638190954773
siglip2_so400m__mil,siglip2_so400m,mil,398,3,hit_rate,0.7889447236180904,0.7461683417085426,0.8291457286432161
siglip2_so400m__mil,siglip2_so400m,mil,398,3,recall_at_k,0.5818676716917923,0.5419493299832495,0.6189290201005024
